"fight_id","winner","title_bout","weight_class","no_of_rounds","r_fighter","r_fighter_id","r_fighter_stance","r_fighter_age","b_fighter","b_fighter_id","b_fighter_stance","b_fighter_age","date","referee","referee_id","b_fighter_height","r_fighter_height","b_fighter_reach","r_fighter_reach","b_fighter_weight","r_fighter_weight","records_id","fight_id-2","b_current_lose_streak","b_current_win_streak","b_draw","b_longest_win_streak","b_losses","b_total_title_bouts","b_win_by_decision_majority","b_win_by_decision_split","b_win_by_decision_unanimous","b_win_by_ko_tko","b_win_by_submission","b_win_by_tko_doctor_stoppage","b_wins","b_total_rounds_fought","b_total_time_fought_seconds","r_current_lose_streak","r_current_win_streak","r_draw","r_longest_win_streak","r_losses","r_total_rounds_fought","r_total_time_fought_seconds","r_total_title_bouts","r_win_by_decision_majority","r_win_by_decision_split","r_win_by_decision_unanimous","r_win_by_ko_tko","r_win_by_submission","r_win_by_tko_doctor_stoppage","r_wins"
"FT2775","Red ","FALSE","Bantamweight",3,"Urijah Faber",802,"Orthodox",35,"Alex Caceres",811,"Southpaw",26,"2014-07-05","Herb Dean","r18",177.8,167.64,185.42,170.18,145,135,"record2775","FT2775",0,2,0,2,4,0,0,2,1,0,2,0,5,23,717.3333333,1,0,0,4,3,26,809,3,0,0,2,0,4,0,6
"FT2774","Blue","FALSE","Bantamweight",3,"Marcus Brimage",884,"Southpaw",29,"Russell Doane",1172,"Orthodox",27,"2014-07-05","Mario Yamasaki","r7",170.18,162.56,177.8,180.34,135,135,"record2774","FT2774",0,1,0,1,0,0,0,0,0,0,1,0,1,2,599,1,0,0,3,1,10,691.75,0,0,1,2,0,0,0,3
"FT2772","Red ","TRUE ","Women's Bantamweight",5,"Ronda Rousey",1025,"Orthodox",27,"Alexis Davis",1088,"Orthodox",29,"2014-07-05","Yves Lavigne","r20",167.64,170.18,172.72,172.72,125,135,"record2772","FT2772",0,3,0,3,0,0,0,1,2,0,0,0,3,9,900,0,3,0,3,0,5,337.6666667,3,0,0,0,1,2,0,3
"FT2773","Red ","FALSE","Middleweight",3,"Uriah Hall",1048,"Orthodox",29,"Thiago Santos",1100,"Orthodox",30,"2014-07-05","Yves Lavigne","r20",187.96,182.88,193.04,200.66,205,185,"record2773","FT2773",0,1,0,1,1,0,0,0,0,1,0,0,1,2,50,0,1,0,1,2,7,700,1,0,0,0,0,0,1,1
"FT2780","Draw","FALSE","Middleweight",3,"Kevin Casey",1058,"Southpaw",33,"Bubba Bush",1273,"Orthodox",28,"2014-07-05","Chris Tognoni","r70",182.88,180.34,185.42,195.58,185,185,"record2780","FT2780",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,0,0,0,1,2,437,0,0,0,0,0,0,0,0
"FT2779","Red ","FALSE","Middleweight",3,"Luke Zachrich",1225,"Orthodox",32,"Guilherme Vasconcelos",1272,"Orthodox",28,"2014-07-05","Mario Yamasaki","r7",182.88,187.96,187.96,187.96,185,185,"record2779","FT2779",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,0,0,0,1,1,44,0,0,0,0,0,0,0,0
"FT2781","Red ","FALSE","Featherweight",5,"Frankie Edgar",461,"Orthodox",32,"BJ Penn",227,"Orthodox",35,"2014-07-06","Herb Dean","r18",175.26,167.64,177.8,172.72,155,145,"record2781","FT2781",3,0,0,3,10,11,0,0,1,6,4,1,12,65,828.6818182,0,1,0,5,5,55,1084.6,7,0,0,7,2,1,0,10
"FT2786","Blue","FALSE","Lightweight",3,"Jesse Ronson",1115,"Southpaw",28,"Kevin Lee",1179,"Orthodox",21,"2014-07-06","Herb Dean","r18",175.26,177.8,195.58,182.88,170,155,"record2786","FT2786",1,0,0,0,1,0,0,0,0,0,0,0,0,3,900,2,0,0,0,2,6,900,0,0,0,0,0,0,0,0
"FT2788","Red ","FALSE","Lightweight",3,"Adriano Martins",1130,"Southpaw",31,"Juan Puig",1282,"Orthodox",25,"2014-07-06","Yves Lavigne","r20",175.26,177.8,182.88,182.88,145,155,"record2788","FT2788",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,0,0,1,1,3,374.5,0,0,0,0,0,1,0,1
"FT2785","Blue","FALSE","Flyweight",3,"Justin Scoggins",1153,"Southpaw",22,"Dustin Ortiz",1132,"Orthodox",25,"2014-07-06","Mario Yamasaki","r7",165.1,170.18,165.1,167.64,125,125,"record2785","FT2785",0,1,0,1,1,0,0,1,0,1,0,0,2,9,866.3333333,0,2,0,2,0,4,591.5,0,0,0,1,1,0,0,2
