fight_id,winner,title_bout,weight_class,no_of_rounds,r_fighter,r_fighter_id,r_fighter_stance,b_fighter,b_fighter_id,b_fighter_stance,date,referee,referee_id,b_fighter_height,r_fighter_height,b_fighter_reach,r_fighter_reach,b_fighter_weight,r_fighter_weight
FT110,Red ,FALSE,Heavyweight,2,Vitor Belfort,86,Southpaw,Tra Telligman,89,Orthodox,2/7/1997,John McCarthy,r2,187.96,182.88,NULL,187.96,233,185
FT112,Red ,FALSE,Lightweight,2,Yoshiki Takahashi,87,Southpaw,Wallid Ismail,91,Orthodox,2/7/1997,John McCarthy,r2,170.18,180.34,NULL,NULL,205,199
FT116,Red ,TRUE ,Lightweight,2,Guy Mezger,34,Orthodox,Tito Ortiz,97,Orthodox,5/30/1997,John McCarthy,r2,190.5,185.42,187.96,NULL,205,200
FT120,Red ,FALSE,Lightweight,2,Guy Mezger,34,Orthodox,Christophe Leninger,31,Southpaw,5/30/1997,John McCarthy,r2,182.88,185.42,NULL,NULL,200,200
FT114,Red ,FALSE,Heavyweight,3,Vitor Belfort,86,Southpaw,David Abbott,50,Switch,5/30/1997,John McCarthy,r2,182.88,182.88,NULL,187.96,265,185
FT115,Red ,TRUE ,Heavyweight,2,Randy Couture,93,Orthodox,Steven Graham,94,Orthodox,5/30/1997,John McCarthy,r2,185.42,185.42,NULL,190.5,290,205
FT117,Red ,FALSE,Heavyweight,2,Randy Couture,93,Orthodox,Tony Halme,98,Orthodox,5/30/1997,John McCarthy,r2,190.5,185.42,NULL,190.5,300,205
FT118,Red ,FALSE,Heavyweight,2,Steven Graham,94,Orthodox,Dmitri Stepanov,99,Orthodox,5/30/1997,John McCarthy,r2,190.5,185.42,NULL,NULL,217,290
FT119,Red ,FALSE,Lightweight,2,Enson Inoue,95,Orthodox,Royce Alger,100,Orthodox,5/30/1997,John McCarthy,r2,177.8,177.8,NULL,NULL,199,210
FT121,Red ,FALSE,Lightweight,2,Jack Nilson,96,NULL,Saeed Hosseini,101,NULL,5/30/1997,Joe Hamilton,r5,NULL,NULL,NULL,NULL,NULL,NULL
FT122,Red ,FALSE,Lightweight,2,Tito Ortiz,97,Orthodox,Wes Albritton,102,Orthodox,5/30/1997,Joe Hamilton,r5,177.8,190.5,NULL,187.96,188,205
