"fight_id","winner","title_bout","weight_class","no_of_rounds","r_fighter","r_fighter_id","r_fighter_stance","b_fighter","b_fighter_id","b_fighter_stance","date","referee","referee_id","b_fighter_height","r_fighter_height","b_fighter_reach","r_fighter_reach","b_fighter_weight","r_fighter_weight","records_id","fight_id-2","b_current_lose_streak","b_current_win_streak","b_draw","b_longest_win_streak","b_losses","b_total_title_bouts","b_win_by_decision_majority","b_win_by_decision_split","b_win_by_decision_unanimous","b_win_by_ko_tko","b_win_by_submission","b_win_by_tko_doctor_stoppage","b_wins","b_total_rounds_fought","b_total_time_fought_seconds","r_current_lose_streak","r_current_win_streak","r_draw","r_longest_win_streak","r_losses","r_total_rounds_fought","r_total_time_fought_seconds","r_total_title_bouts","r_win_by_decision_majority","r_win_by_decision_split","r_win_by_decision_unanimous","r_win_by_ko_tko","r_win_by_submission","r_win_by_tko_doctor_stoppage","r_wins"
"FT254","Red ","FALSE","Heavyweight",3,"Pedro Rizzo",141,"Orthodox","Josh Barnett",209,"Orthodox","2001-02-23","Mario Yamasaki","r7",190.5,185.42,198.12,NULL,250,241,"record254","FT254",0,1,0,1,0,0,0,0,0,1,0,0,1,2,574,0,1,0,4,1,13,654.5,1,0,1,0,4,0,0,5
"FT252","Red ","FALSE","Welterweight",3,"Fabiano Iha",162,"Orthodox","Phil Johns",223,"Southpaw","2001-02-23","Mario Yamasaki","r7",157.48,172.72,NULL,NULL,170,155,"record252","FT252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,2,0,2,2,6,298.75,0,0,0,0,1,1,0,2
"FT251","Red ","TRUE ","Lightweight",5,"Jens Pulver",172,"Southpaw","Caol Uno",222,"Southpaw","2001-02-23","John McCarthy","r2",170.18,170.18,177.8,177.8,155,145,"record251","FT251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,3,0,3,1,8,494,0,0,0,1,2,0,0,3
"FT255","Draw","FALSE","Heavyweight",2,"Bobby Hoffman",205,"Orthodox","Mark Robinson",224,"Orthodox","2001-02-23","John McCarthy","r2",182.88,187.96,NULL,NULL,265,245,"record255","FT255",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,0,0,0,1,3,900,0,0,0,0,0,0,0,0
"FT253","Red ","FALSE","Middleweight",3,"Elvis Sinosic",219,"Orthodox","Jeremy Horn",135,"Orthodox","2001-02-23","Mario Yamasaki","r7",185.42,190.5,187.96,195.58,185,205,"record253","FT253",0,4,0,4,2,1,0,0,0,1,3,0,4,7,432.6666667,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT256","Red ","FALSE","Middleweight",2,"Phil Baroni",220,"Orthodox","Curtis Stout",225,"Southpaw","2001-02-23","Mason White","r9",185.42,175.26,NULL,182.88,185,170,"record256","FT256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT257","Red ","FALSE","Welterweight",2,"Sean Sherk",221,"Orthodox","Tiki Ghosn",188,"Orthodox","2001-02-23","Mason White","r9",177.8,167.64,NULL,170.18,170,155,"record257","FT257",1,0,0,0,1,0,0,0,0,0,0,0,0,2,389,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT258","Red ","TRUE ","Heavyweight",5,"Randy Couture",93,"Orthodox","Pedro Rizzo",141,"Orthodox","2001-05-04","John McCarthy","r2",185.42,185.42,NULL,190.5,241,205,"record258","FT258",0,2,0,4,1,1,0,1,0,5,0,0,6,15,641.1428571,0,5,0,5,0,9,571.6,3,1,0,0,3,1,0,5
"FT259","Red ","TRUE ","Welterweight",5,"Carlos Newton",133,"Orthodox","Pat Miletich",124,"Orthodox","2001-05-04","John McCarthy","r2",177.8,175.26,NULL,NULL,170,170,"record259","FT259",0,7,0,7,0,6,0,2,1,0,3,1,7,15,739.5714286,1,0,0,1,1,3,476,1,0,0,0,0,1,0,1
"FT260","Red ","FALSE","Light Heavyweight",3,"Chuck Liddell",134,"Orthodox","Kevin Randleman",151,"Orthodox","2001-05-04","John McCarthy","r2",177.8,187.96,NULL,193.04,205,205,"record260","FT260",1,0,0,2,2,4,0,0,3,0,0,0,3,18,1202.6,0,2,0,2,1,6,643.25,0,0,0,2,0,0,1,3
